segment,customer_state,customers,revenue,avg_value
At Risk,AC,69,22315.04,323.4063768115942
At Risk,AL,309,94521.18,305.893786407767
At Risk,AM,108,30004.06,277.8153703703704
At Risk,AP,52,19740.83,379.6313461538462
At Risk,BA,2391,659839.57,275.9680342952739
At Risk,CE,988,292656.55,296.2110829959514
At Risk,DF,1459,341653.23,234.16945167923234
At Risk,ES,1485,332158.3,223.6756228956229
At Risk,GO,1475,428538.7,290.5347118644068
At Risk,MA,573,173856.43,303.4143630017452
At Risk,MG,8357,1906342.37,228.11324279047506
At Risk,MS,528,139987.24,265.1273484848485
At Risk,MT,671,221106.98,329.51859910581226
At Risk,PA,752,224748.0,298.8670212765957
At Risk,PB,392,156650.18,399.61780612244894
At Risk,PE,1167,296482.66,254.0554070265638
At Risk,PI,369,116920.34,316.8572899728997
At Risk,PR,3576,857840.78,239.88836129753915
At Risk,RJ,9250,2287590.44,247.30707459459458
At Risk,RN,372,100005.33,268.8315322580645
At Risk,RO,198,57714.53,291.48752525252524
At Risk,RR,34,9833.96,289.2341176470588
At Risk,RS,4058,934772.75,230.3530680137999
At Risk,SC,2694,648408.42,240.6861247216036
At Risk,SE,251,72299.74,288.04677290836656
At Risk,SP,28201,5979505.16,212.03167121733273
At Risk,TO,212,62879.5,296.60141509433964
Need Attention,AC,11,2575.45,234.13181818181818
Need Attention,AL,88,13903.89,157.99875
Need Attention,AM,37,4498.98,121.59405405405404
Need Attention,AP,15,1780.88,118.72533333333334
Need Attention,BA,865,113342.45,131.03173410404625
Need Attention,CE,291,40749.62,140.03305841924399
Need Attention,DF,621,79721.63,128.3762157809984
Need Attention,ES,510,66163.6,129.73254901960786
Need Attention,GO,482,64530.0,133.87966804979254
Need Attention,MA,144,21222.2,147.3763888888889
Need Attention,MG,2997,374886.79,125.08735068401734
Need Attention,MS,173,22760.92,131.56601156069362
Need Attention,MT,215,30397.5,141.38372093023256
Need Attention,PA,194,30076.98,155.0359793814433
Need Attention,PB,125,20720.41,165.76328
Need Attention,PE,426,64545.41,151.51504694835683
Need Attention,PI,107,16727.47,156.33149532710283
Need Attention,PR,1347,172981.61000000002,128.41990348923534
Need Attention,RJ,3100,401343.46,129.46563225806452
Need Attention,RN,102,15079.27,147.83598039215687
Need Attention,RO,45,7486.13,166.35844444444444
Need Attention,RR,7,1466.92,209.56
Need Attention,RS,1287,176203.72,136.91042735042734
Need Attention,SC,852,118685.55,139.30228873239437
Need Attention,SE,84,13394.58,159.45928571428573
Need Attention,SP,12299,1424488.13,115.82145946824944
Need Attention,TO,62,8054.62,129.9132258064516
