state,order_count,avg_delivery_days,min_delivery_days,max_delivery_days,avg_carrier_days,cities_served,total_revenue,revenue_per_day_lost
PA,981,23.73280714360701,4.3790277778171,195.63401620369405,20.24864660022034,89,212027.55,97057.78177604973
MA,735,21.632152021919588,3.0769212963059545,168.08280092617497,18.034681988541088,120,147807.29,57310.56224093183
CE,1341,21.13718139793096,2.850254629738629,168.18190972227603,17.842634918656767,161,266463.97,98921.9189967611
PB,551,20.473139724922376,5.72503472212702,102.17065972229466,16.99522679723113,90,137834.65,48118.71827952573
RN,511,19.664896082460203,1.4218287034891546,174.04807870369405,15.938699649373495,89,100728.3,32450.9517354292
PI,504,19.43926690641554,2.030613426119089,194.8501736111939,16.24622253454124,72,105272.17,33123.07034825169
BA,3483,19.256187208239368,0.8634259263053536,167.94375000009313,15.958605435397182,352,591270.6,182430.37881093385
PE,1667,18.445921871173976,1.6699768519029021,166.14173611113802,15.204747967067805,152,309074.59,87013.99465017098
MT,909,18.023221590678126,3.9204861111938953,79.54930555587634,14.89549475664691,99,181441.72,48524.904178459175
ES,2068,15.831547394375285,2.161793981678784,209.62861111108214,12.443613075569715,95,317682.65,61752.71432819119
MS,722,15.585710667391693,3.0393402776680887,58.87276620371267,12.437272349826559,66,134421.54,25027.994330173973
GO,2047,15.580381526033024,1.2601157408207655,181.06052083335817,12.422179736833725,175,334294.22,62182.97631825398
RJ,13004,15.381203130516747,0.5334143522195518,208.35175925958902,12.053135328017992,145,2055690.45,368736.26283044595
RS,5543,15.263383985310222,1.0737384255044162,186.2367708333768,12.061406702064055,374,861608.4,151165.86180562546
